grubhub_slug,grubhub_business_hours,ubereats_slug,ubereats_business_hours,is_out_range
theburgert_greenolive_gh,6720,theburgertrilog_salsplacedeligr_ue,960,Out of Range
bigeasesmo_wesamdeli_gh,8400,bigeasesmoothie_citideli_ue,10073,Out of Range
nychinesej_plazagourm_gh,5820,nychinesejointo_newyorkthaigril_ue,10073,Out of Range
indianchickenco_goldstreet_gh,4194,indianchickenco_canteendesidhab_ue,779,Out of Range
salvatore_bigfamousd_gh,6300,salvatoresparmi_modenapizzaicec_ue,6720,Out of Range
theacaidre_allnitepiz_gh,6330,theacaidream_eastsidedeli_ue,960,Out of Range
sarahssal_marhabaind_gh,6300,sarahssaladbar_milanspizzeriap_ue,870,Out of Range
theamericanchee_princedelimarke_gh,9090,theamericanchee_princedelimarke_ue,8460,Out of Range
palaceindo_gaters_gh,5040,palaceindochnes_marhabaindian_ue,4830,Out of Range
genosglut_sicilianpi_gh,6300,genosglutenfree_michaelangelosp_ue,6120,Out of Range
dannysdes_1upbistro_gh,3030,dannysdesserts_farmerspizzagri_ue,780,Out of Range
thegyrosno_bigfamousd_gh,6720,thegyrosnob_omegasaladbarde_ue,6930,Out of Range
thebreakfa_gaters_gh,5640,thebreakfastsno_miyucatan_ue,780,Out of Range
pizzathril_sicilianpi_gh,6300,pizzathriller_michaelangelosp_ue,6120,Out of Range
frankiesb_omegasalad_gh,10080,frankiesburgerb_paninigrill9371_ue,10073,Out of Range
phillychee_citideli_gh,10080,phillycheeseste_hudsonmarketpla_ue,1439,Out of Range
italianpastajoi_daddysdelights_gh,5640,italianpastajoi_daddysdelights_ue,480,Out of Range
palmtreeju_michaelang_gh,10080,palmtreejuiceba_heavenlymarketi_ue,1439,Out of Range
thegyrospo_1upbistro_gh,5040,thegyrospot_farmerspizzagri_ue,840,Out of Range
bradsbuffalowin_chelseapapaya_gh,10080,bradsbuffalowin_chelseapapaya_ue,1439,Out of Range
chickenastender_chelseapapaya_gh,10080,chickenastender_chelseapapaya_ue,1439,Out of Range
franksphi_villagecaf_gh,10080,franksphillyche_sicilianpizzabr_ue,720,Out of Range
